Qiymet,Kategoriya,Mertebe,Otaq,Kupca,Seher
120 000,Yeni tikili,4 / 20,2,var,"Bakı şəhəri, Əsəd Əhmədov küçəsi "
335 000,Yeni tikili,9 / 18,3,var,"Bakı şəhəri, Rəşid Behbudov 4 "
70 000,Yeni tikili,7 / 7,2,var,"Bakı şəhəri, İstiqlaliyyət küçəsi, Yeni Bakı yaşayış kompleksi bina 15 "
265 000,Yeni tikili,6 / 11,3,yoxdur,"Bakı şəhəri, Fətəlixan Xoyski küç."
95 000,Köhnə tikili,4 / 5,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
208 200,Yeni tikili,2 / 16,4,yoxdur,"Bakı şəhəri, Əbdüləzəl Dəmirçizadə küç."
140 000,Yeni tikili,12 / 13,2,var,"Bakı şəhəri, Ayaz İsmayılov küç."
260 000,Yeni tikili,9 / 16,4,yoxdur,"Bakı şəhəri, Azadlıq pr 123"
140 000,Köhnə tikili,3 / 22,2,var,"Bakı şəhəri, Abbas Mirzə Şərifzadə k."
760 000,Yeni tikili,8 / 24,4,var,"Bakı şəhəri, Zərifə Əliyeva küçəsi"
139 000,Yeni tikili,14 / 16,2,var,"Bakı şəhəri, Xudu Məmmədov  küç."
105 000,Yeni tikili,14 / 17,2,var,"Bakı şəhəri, Şirin Mirzəyev küç."
280 000,Yeni tikili,17 / 19,4,var,"Bakı şəhəri, Həsən Əliyev küç."
135 000,Yeni tikili,4 / 10,3,var,"Bakı şəhəri, Cavanşir 19 mənzil 14 "
215 000,Yeni tikili,11 / 19,3,var,"Bakı şəhəri, M.Mehdizadə küç."
300 000,Yeni tikili,16 / 20,2,var,"Bakı şəhəri, Afiyəddin Cəlilov küç. 19"
114 900,Yeni tikili,8 / 15,2,var,"Bakı şəhəri, İ.Zülfüqarov küçəsi"
106 000,Yeni tikili,11 / 16,3,yoxdur,"Bakı şəhəri, Yusif Eyvazov küç."
70 000,Köhnə tikili,5 / 5,2,var,"Bakı şəhəri, Nəsrəddin Tusi küçəsi"
67 000,Köhnə tikili,2 / 4,2,var,"Bakı şəhəri, Süleyman Əhmədov küç. 21"
61 000,Yeni tikili,2 / 6,3,yoxdur,"Bakı şəhəri,  İstiqlaliyyət küç"
248 000,Yeni tikili,16 / 17,3,var,"Bakı şəhəri, Xan Şuşinski küç."
349 999,Yeni tikili,2 / 5,3,var,"Bakı şəhəri, Bakıxanov küçəsi 87"
365 000,Yeni tikili,2 / 7,4,var,"Bakı şəhəri, Süleyman Vəzirov küç."
39 500,Yeni tikili,10 / 10,2,var,"Xırdalan şəhəri, Heydər Əliyev 230"
210 000,Yeni tikili,10 / 16,4,var,"Bakı şəhəri, Cavadxan küç."
147 700,Yeni tikili,5 / 16,2,var,"Bakı şəhəri, Ə.Cəmil küçəsi"
620 000,Yeni tikili,3 / 14,4,var,"Bakı şəhəri, Nizami küçəsi"
74 000,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Hüseynbala Əliyev küç"
166 500,Yeni tikili,6 / 8,2,yoxdur,"Bakı şəhəri, Qarabağ atları küç."
194 500,Yeni tikili,7 / 17,3,yoxdur,"Bakı şəhəri, S.Ə.Şirvani küçəsi"
155 000,Köhnə tikili,5 / 5,2,var,"Bakı şəhəri, Mərdanov Qardaşları küç."
205 000,Yeni tikili,16 / 21,3,var,"Bakı şəhəri, Əliyar Əliyev küç."
78 000,Köhnə tikili,4 / 9,2,var,"Bakı şəhəri, Mir Cəlal küç."
196 000,Yeni tikili,12 / 18,3,var,"Bakı şəhəri, Tofiq Abbasov kuc"
87 000,Yeni tikili,16 / 17,1,var,"Bakı şəhəri, M.Hadi küç"
277 000,Yeni tikili,14 / 24,3,var,"Bakı şəhəri, Fəzail Bayramov küç."
118 000,Köhnə tikili,2 / 9,3,var,"Bakı şəhəri, Qara Qarayev prospekti "
147 000,Yeni tikili,16 / 16,3,var,"Bakı şəhəri, Mir Cəlal 123a"
115 000,Köhnə tikili,3 / 5,3,var,"Bakı şəhəri, pr.Parlament"
249 150,Yeni tikili,7 / 7,4,yoxdur,"Bakı şəhəri, Mərkəzi Park küçəsi"
177 000,Yeni tikili,7 / 20,3,yoxdur,"Bakı şəhəri, Mirəsədulla Mirqasımov küçəsi ev 81"
253 340,Yeni tikili,4 / 9,3,yoxdur,"Bakı şəhəri, M.Muxtarov küç."
215 000,Yeni tikili,12 / 16,3,var,"Bakı şəhəri, Xocalı pr 29"
120 000,Köhnə tikili,8 / 9,3,var,"Bakı şəhəri, Atatürk Prospekti"
96 000,Yeni tikili,6 / 13,2,var,"Bakı şəhəri, Qədir Məmmədov küçəsi."
111 000,Köhnə tikili,4 / 5,2,var,"Bakı şəhəri, Bakıxanov prospekti 16,ev 7"
335 000,Yeni tikili,14 / 18,3,var,"Bakı şəhəri, Nəsib bəy Yusifbəyli küc"
220 000,Yeni tikili,13 / 19,3,var,"Bakı şəhəri, Abbasqulu Abbaszadə 45"
60 000,Köhnə tikili,5 / 5,1,var,"Bakı şəhəri, Məmmədəli Şərifli küçəsi"
193 000,Yeni tikili,11 / 17,5,var,"Bakı şəhəri, Xiyabani küç."
340 000,Köhnə tikili,4 / 5,5,var,"Bakı şəhəri, Nizami Nərimanov küçəsi 19"
255 000,Yeni tikili,10 / 20,3,var,"Bakı şəhəri, İlqar İsmayılov küçəsi "
82 000,Köhnə tikili,4 / 4,2,var,"Bakı şəhəri, İ.Hidayətzadə küç."
100 000,Yeni tikili,9 / 20,2,var,"Bakı şəhəri, Həsən bəy Zərdabi küçəsi "
67 062,Yeni tikili,4 / 18,2,yoxdur,"Bakı şəhəri,   Abbas Mirzə Şərifzadə küçəsi 241"
79 000,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Ali Mustafayev küç"
160 000,Yeni tikili,8 / 17,2,var,"Bakı şəhəri, Şərifzadə küçəsi"
75 000,Yeni tikili,2 / 5,4,var,"Mingəçevir şəhəri, Cəmil Əliyev küç."
76 900,Köhnə tikili,1 / 5,2,var,"Bakı şəhəri, Mir Cəlal küçəsi"
155 000,Köhnə tikili,2 / 4,3,var,"Bakı şəhəri, Hasan Abdullayev küçəsi"
298 000,Yeni tikili,9 / 18,4,var,"Bakı şəhəri, N .Əliyev 28"
